<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EESR,60,20070507,100000,34.52600,34.65900,34.40100,34.58500
EESR,60,20070507,110000,34.57500,34.65300,34.51500,34.56000
EESR,60,20070507,120000,34.56000,34.67000,34.50000,34.52900
EESR,60,20070507,130000,34.52700,34.54000,34.39800,34.46500
EESR,60,20070507,140000,34.46600,34.62000,34.44400,34.58500
EESR,60,20070507,150000,34.58500,34.72800,34.56000,34.60200
EESR,60,20070507,160000,34.60900,34.67500,34.42100,34.48700
EESR,60,20070507,170000,34.48900,34.55000,34.41000,34.54000
EESR,60,20070508,100000,34.54900,34.72000,34.47000,34.64500
EESR,60,20070508,110000,34.63700,34.63900,34.46800,34.50000
EESR,60,20070508,120000,34.49200,34.59000,34.47000,34.50800
EESR,60,20070508,130000,34.50800,34.52900,34.32000,34.37800
EESR,60,20070508,140000,34.37000,34.37400,34.08000,34.14000
EESR,60,20070508,150000,34.12400,34.19200,33.82400,33.95000
EESR,60,20070508,160000,33.95000,34.01500,33.86700,33.90000
EESR,60,20070508,170000,33.90000,33.95600,33.77500,33.91800
EESR,60,20070510,100000,34.03000,34.37000,34.00000,34.33800
EESR,60,20070510,110000,34.33800,34.47500,34.20100,34.47500
EESR,60,20070510,120000,34.47500,34.66900,34.41600,34.45900
EESR,60,20070510,130000,34.45900,34.49900,34.18400,34.18400
EESR,60,20070510,140000,34.18400,34.22200,33.71000,33.85500
EESR,60,20070510,150000,33.84100,34.02700,33.62200,33.65000
EESR,60,20070510,160000,33.62200,33.85000,33.37000,33.60000
EESR,60,20070510,170000,33.59400,33.88000,33.55000,33.67800
EESR,60,20070511,100000,33.20100,33.38900,33.06000,33.12900
EESR,60,20070511,110000,33.07200,33.38000,32.98100,33.25000
EESR,60,20070511,120000,33.25200,33.31900,32.77700,32.78100
EESR,60,20070511,130000,32.78800,32.90000,32.72500,32.75900
EESR,60,20070511,140000,32.74900,32.89200,32.65000,32.79200
EESR,60,20070511,150000,32.79000,32.86900,32.76500,32.82700
EESR,60,20070511,160000,32.82500,32.89900,32.57300,32.60400
EESR,60,20070511,170000,32.60900,32.64600,32.46000,32.48500
EESR,60,20070514,100000,33.00000,33.18000,32.92100,33.03100
EESR,60,20070514,110000,33.03400,33.05000,32.80000,32.85000
EESR,60,20070514,120000,32.84800,32.84800,31.97700,32.09900
EESR,60,20070514,130000,32.09800,32.41500,32.09000,32.30000
EESR,60,20070514,140000,32.29900,32.43900,32.21000,32.30000
EESR,60,20070514,150000,32.28100,32.37500,32.23300,32.25000
EESR,60,20070514,160000,32.25000,32.90000,32.21000,32.84700
EESR,60,20070514,170000,32.84700,33.73500,32.77200,33.65000
EESR,60,20070515,100000,33.36000,33.37000,32.66000,32.81400
EESR,60,20070515,110000,32.83000,33.04400,32.65200,32.82600
EESR,60,20070515,120000,32.82600,33.34900,32.72100,33.05000
EESR,60,20070515,130000,33.05100,33.28800,32.97300,33.26000
EESR,60,20070515,140000,33.26000,33.33300,32.98100,33.07000
EESR,60,20070515,150000,33.07000,33.21000,33.05000,33.07000
EESR,60,20070515,160000,33.08200,33.74400,33.05000,33.61900
EESR,60,20070515,170000,33.61000,33.71900,33.15000,33.30000
EESR,60,20070516,100000,33.52000,33.52000,33.21300,33.49900
EESR,60,20070516,110000,33.49400,33.78100,33.37000,33.50600
EESR,60,20070516,120000,33.50600,33.75300,33.50300,33.67900
EESR,60,20070516,130000,33.68000,33.87000,33.68000,33.68700
EESR,60,20070516,140000,33.69000,33.90000,33.62100,33.83000
EESR,60,20070516,150000,33.81900,34.12000,33.81600,34.02400
EESR,60,20070516,160000,34.02400,34.28200,33.92000,34.20100
EESR,60,20070516,170000,34.20500,34.64000,34.20500,34.59800
EESR,60,20070517,100000,34.78000,34.85000,34.58100,34.68400
EESR,60,20070517,110000,34.68400,34.97000,34.51100,34.75000
EESR,60,20070517,120000,34.75000,34.76800,34.58500,34.71900
EESR,60,20070517,130000,34.71800,34.76000,34.40200,34.59800
EESR,60,20070517,140000,34.59800,34.71800,34.50700,34.55000
EESR,60,20070517,150000,34.57900,34.58900,34.36500,34.40000
EESR,60,20070517,160000,34.40100,34.61500,34.11600,34.17000
EESR,60,20070517,170000,34.16500,34.17900,33.60000,33.79900
EESR,60,20070518,100000,33.99000,34.04000,33.76100,33.86600
EESR,60,20070518,110000,33.86000,34.33000,33.85500,34.25000
EESR,60,20070518,120000,34.25000,34.31700,34.07100,34.15000
EESR,60,20070518,130000,34.15100,34.27000,34.03900,34.15500
EESR,60,20070518,140000,34.16800,34.23500,33.82100,34.07300
EESR,60,20070518,150000,34.07300,34.07300,33.87000,34.00000
EESR,60,20070518,160000,34.00700,34.23000,33.98300,34.19000
EESR,60,20070518,170000,34.19000,34.39900,34.15300,34.28500
EESR,60,20070521,100000,34.45000,34.74800,34.45000,34.60400
EESR,60,20070521,110000,34.61000,34.61900,34.37000,34.41000
EESR,60,20070521,120000,34.42000,34.44900,34.28500,34.40000
EESR,60,20070521,130000,34.40000,34.47000,34.30300,34.39000
EESR,60,20070521,140000,34.38600,34.55000,34.34100,34.45900
EESR,60,20070521,150000,34.45900,34.62000,34.44100,34.57800
